,candidate,tran_ct,tran_amt1,election_year
0,Aaron Clay,51,87139,2020
1,Allyssa Victory Villanueva,4,1502,2022
2,Austin Dannhaus,25,43834,2020
3,Barbara Parker,35,169240,2020
4,"Ben ""Coach"" Tapscott",44,13973,2020
5,"Benjamin ""Sam"" Davis",92,68981,2020
6,Carroll Fife,253,266083,2020
7,Cherisse Gash,1,1000,2020
8,Clifford Thompson,51,19102,2020
9,Dan Kalb,186,188467,2020
10,Derreck B. Johnson,168,266462,2020
11,Derreck Johnson,29,26621,2022
12,Eli Ferran,135,126298,2020
13,Faye Taylor,3,2488,2020
14,"Gregory Hodge
",5,4661,2022
15,Jorge C. Lerma,24,10638,2020
16,Kristina Molina,229,29557,2020
17,Leroy Gaines,48,49215,2020
18,Lynette Gibson McElhaney,244,259156,2020
19,Maiya Edgerly,29,10330,2020
20,Marchon Tatmon,70,28223,2020
21,Marcie Hodge,9,14446,2020
22,Mark Hurty,8,19099,2020
23,Mike Hutchinson,95,17880,2020
24,Nikki Fortunato Bas,79,26536,2022
25,Noel Gallo,104,102326,2020
26,Rebecca Kaplan,225,257598,2020
27,Richard Santos Raya,64,55173,2020
28,"Robert ""Bob"" Jackson",66,152545,2020
29,Sheila Pope Lawrence,21,17512,2020
30,Sheng Thao,3,2053,2022
31,Stacy Thomas,2,646,2020
32,Steph Dominguez Walton,68,198367,2020
33,Treva Reid,358,156436,2022
34,Treva Reid,358,156436,2020
35,Tri Ngo,33,24799,2020
36,VanCedric Williams,57,36123,2020
37,Zoe Lopez-Meraz,26,10328,2020
